# anc1_x,anc1_y,anc2_x,anc2_y,anc3_x,anc3_y,anc4_x,anc4_y,anc1_RSS,anc2_RSS,anc3_RSS,anc4_RSS,anc1_AoA,anc2_AoA,anc3_AoA,anc4_AoA,anc1_ToA,anc2_ToA,anc3_ToA,anc4_ToA,sensor_x,sensor_y
2.300000000000000100e-01,6.099999999999999867e-01,9.200000000000000400e-01,3.900000000000000133e-01,8.900000000000000133e-01,3.900000000000000133e-01,9.000000000000000222e-01,8.199999999999999512e-01,8.964878891448657683e-01,7.315505073668866487e-01,7.320283152758713108e-01,8.279195063907474061e-01,4.873597376677301085e-01,7.813634868574944603e-01,7.125359445837394778e-01,2.583514550947566546e-01,4.555725519095729092e-01,9.620251133639218244e-02,9.393844511533164243e-02,2.189324424334780084e-01,9.100000000000000311e-01,5.100000000000000089e-01
2.300000000000000100e-01,6.099999999999999867e-01,9.200000000000000400e-01,3.900000000000000133e-01,8.900000000000000133e-01,3.900000000000000133e-01,9.000000000000000222e-01,8.199999999999999512e-01,8.317175384364609014e-01,8.652218357067286147e-01,8.468898171190287760e-01,8.341513346083289093e-01,5.286701316494564207e-01,8.789930671860368694e-01,9.011698102667264898e-01,8.960798212368530080e-02,2.266412950750455180e-01,3.118669358424376314e-01,2.716142800266279633e-01,2.444913305470357567e-01,5.699999999999999512e-01,6.700000000000000400e-01
2.300000000000000100e-01,6.099999999999999867e-01,9.200000000000000400e-01,3.900000000000000133e-01,8.900000000000000133e-01,3.900000000000000133e-01,9.000000000000000222e-01,8.199999999999999512e-01,8.732087816272762204e-01,9.173433650049840349e-01,9.173644058275627344e-01,9.390976631044031242e-01,2.269799097887648109e-01,4.607150414819708578e-02,5.744327690610917525e-02,9.909701652588391585e-02,3.592352716478273145e-01,5.099212973619950962e-01,5.179696309853123459e-01,6.703301976116684546e-01,2.000000000000000111e-01,8.000000000000000167e-02
2.300000000000000100e-01,6.099999999999999867e-01,9.200000000000000400e-01,3.900000000000000133e-01,8.900000000000000133e-01,3.900000000000000133e-01,9.000000000000000222e-01,8.199999999999999512e-01,8.711922379422003537e-01,8.236855678954672078e-01,8.191460387714492031e-01,8.120700592864169565e-01,4.717250857287461074e-01,8.865422669663164390e-01,8.750364558918384272e-01,1.213772894343002756e-01,3.255601260512064332e-01,2.153665377963216443e-01,1.931075063557642357e-01,1.835822937261568366e-01,7.199999999999999734e-01,6.099999999999999867e-01
2.300000000000000100e-01,6.099999999999999867e-01,9.200000000000000400e-01,3.900000000000000133e-01,8.900000000000000133e-01,3.900000000000000133e-01,9.000000000000000222e-01,8.199999999999999512e-01,8.922345142863524758e-01,8.797109232924152922e-01,8.806039626916597474e-01,7.856980111241084197e-01,5.923722341711066264e-01,8.368321655285757554e-01,7.919661416688927869e-01,9.667204239288326173e-01,3.747705478123424805e-01,3.650402625660414402e-01,3.561206112656974399e-01,1.499069308206649465e-01,7.099999999999999645e-01,9.100000000000000311e-01
2.300000000000000100e-01,6.099999999999999867e-01,9.200000000000000400e-01,3.900000000000000133e-01,8.900000000000000133e-01,3.900000000000000133e-01,9.000000000000000222e-01,8.199999999999999512e-01,7.556664364076685070e-01,9.181774435480523078e-01,9.297257093096706893e-01,9.255305353978033889e-01,9.358029751778518257e-01,9.559844575971221392e-01,9.665788534169901247e-01,4.896538217394252879e-02,1.061337818876018219e-01,5.847106728441595624e-01,5.769071373703410499e-01,5.460740748579820947e-01,8.999999999999999667e-02,6.800000000000000488e-01
2.300000000000000100e-01,6.099999999999999867e-01,9.200000000000000400e-01,3.900000000000000133e-01,8.900000000000000133e-01,3.900000000000000133e-01,9.000000000000000222e-01,8.199999999999999512e-01,9.170746794035362637e-01,8.855485714317904433e-01,8.913993042011814083e-01,7.524379936948488723e-01,5.501325154620402280e-01,7.537495760726009575e-01,7.523292206526055459e-01,7.188078733947846910e-01,5.251585625546691949e-01,3.793810900899080019e-01,4.039506340543205787e-01,1.212015175053878097e-01,9.499999999999999556e-01,9.699999999999999734e-01
2.300000000000000100e-01,6.099999999999999867e-01,9.200000000000000400e-01,3.900000000000000133e-01,8.900000000000000133e-01,3.900000000000000133e-01,9.000000000000000222e-01,8.199999999999999512e-01,9.181362285663663414e-01,8.413802390752148641e-01,8.320787035176384627e-01,9.173614063827617571e-01,3.542379712930738833e-01,1.889741380709266116e-01,1.823093582703363136e-01,2.477398296471166605e-01,5.239396123061218491e-01,2.378920634440318538e-01,2.524817603771193353e-01,5.137143188359604151e-01,7.600000000000000089e-01,5.999999999999999778e-02
2.300000000000000100e-01,6.099999999999999867e-01,9.200000000000000400e-01,3.900000000000000133e-01,8.900000000000000133e-01,3.900000000000000133e-01,9.000000000000000222e-01,8.199999999999999512e-01,8.645502878198161323e-01,7.983063176602318567e-01,7.875148006230859865e-01,8.548956605709402412e-01,4.589851243184780438e-01,9.299520799017213513e-01,9.562391510042305143e-01,1.474312017261899255e-01,3.117994258823195697e-01,1.886743978570392666e-01,1.554307675116570753e-01,2.851094921627033152e-01,6.800000000000000488e-01,4.600000000000000200e-01
2.300000000000000100e-01,6.099999999999999867e-01,9.200000000000000400e-01,3.900000000000000133e-01,8.900000000000000133e-01,3.900000000000000133e-01,9.000000000000000222e-01,8.199999999999999512e-01,8.550432424754278449e-01,9.135871564546401702e-01,9.132237240868310568e-01,9.422204600430352794e-01,2.657322817343741317e-01,8.777881439844274769e-02,5.906973531328010840e-02,1.339307172980540028e-01,3.016305317949427023e-01,5.242969410190924107e-01,4.961392085038462962e-01,6.339052615208560226e-01,2.000000000000000111e-01,1.799999999999999933e-01
